epoch,accuracy,loss,val_accuracy,val_loss
0,0.16555343568325043,3.7541511058807373,0.31106871366500854,3.044079303741455
1,0.32848283648490906,2.750615358352661,0.4198473393917084,2.392875909805298
2,0.45062023401260376,2.2414541244506836,0.5114504098892212,1.968906044960022
3,0.5050095319747925,1.9110163450241089,0.5496183037757874,1.7371901273727417
4,0.558921754360199,1.6975737810134888,0.5763359069824219,1.6261892318725586
5,0.6023377776145935,1.5157279968261719,0.5954198241233826,1.5390986204147339
6,0.6469465494155884,1.3730769157409668,0.5954198241233826,1.489737868309021
7,0.6617366671562195,1.3039369583129883,0.6316794157028198,1.402845859527588
8,0.680343508720398,1.2275872230529785,0.6297709941864014,1.3931095600128174
9,0.6875,1.193457841873169,0.6316794157028198,1.4082623720169067
10,0.611402690410614,1.4809925556182861,0.6202290058135986,1.4216008186340332
11,0.621421754360199,1.4146168231964111,0.6202290058135986,1.425328254699707
12,0.6505247950553894,1.3237076997756958,0.6583969593048096,1.314863681793213
13,0.6612595319747925,1.235180139541626,0.6660305261611938,1.281495451927185
14,0.6903625726699829,1.1356724500656128,0.6832060813903809,1.264449119567871
15,0.7063454389572144,1.056309461593628,0.6965649127960205,1.1656385660171509
16,0.7380725145339966,0.9682259559631348,0.6984732747077942,1.1613154411315918
17,0.746421754360199,0.9187772274017334,0.7251908183097839,1.1100525856018066
18,0.7612118124961853,0.8679862022399902,0.7290076613426208,1.1106029748916626
19,0.7523854970932007,0.8862723708152771,0.7290076613426208,1.1054922342300415
20,0.6987118124961853,1.0750317573547363,0.652671754360199,1.3813636302947998
21,0.6956107020378113,1.1146841049194336,0.6564885377883911,1.2456947565078735
22,0.7056297659873962,1.0704841613769531,0.7041984796524048,1.1742023229599
23,0.7232824563980103,0.9897860288619995,0.7156488299369812,1.1490920782089233
24,0.746421754360199,0.9275627136230469,0.7099236845970154,1.1339280605316162
25,0.7554866671562195,0.8757288455963135,0.7041984796524048,1.083593487739563
26,0.753578245639801,0.8724552989006042,0.7251908183097839,1.0534776449203491
27,0.7769560813903809,0.7921271920204163,0.7290076613426208,1.0585155487060547
28,0.7869752049446106,0.7847070097923279,0.7309160232543945,1.0430971384048462
29,0.7838740348815918,0.779282808303833,0.7251908183097839,1.0387632846832275
