epoch,accuracy,loss,val_accuracy,val_loss
0,0.1447996199131012,4.0125908851623535,0.18893130123615265,3.5587427616119385
1,0.31035304069519043,3.1445319652557373,0.290076345205307,3.1782727241516113
2,0.41054388880729675,2.750910758972168,0.3377862572669983,3.0763511657714844
3,0.4797232747077942,2.5116989612579346,0.32824426889419556,3.115255832672119
4,0.5288645029067993,2.346970319747925,0.3835877776145935,2.915158748626709
5,0.5625,2.2206790447235107,0.3835877776145935,2.869476556777954
6,0.5918415784835815,2.1349685192108154,0.4007633626461029,2.910578489303589
7,0.6218988299369812,2.0555074214935303,0.4351145029067993,2.758319854736328
8,0.628578245639801,2.0272891521453857,0.45610687136650085,2.703578472137451
9,0.646230936050415,1.9843652248382568,0.4656488597393036,2.70225191116333
10,0.6533874273300171,1.9591658115386963,0.4637404680252075,2.6955299377441406
11,0.6445610523223877,1.989923357963562,0.42175573110580444,2.8192360401153564
12,0.6013835668563843,2.115985631942749,0.45038166642189026,2.764655351638794
13,0.6147423386573792,2.0652008056640625,0.4541984796524048,2.744974136352539
14,0.6276240348815918,2.0263471603393555,0.4713740348815918,2.675786256790161
15,0.6495705842971802,1.9629896879196167,0.4580152630805969,2.688817024230957
16,0.6619752049446106,1.9175243377685547,0.4751908481121063,2.6559619903564453
17,0.6922709941864014,1.8507012128829956,0.49618321657180786,2.626708507537842
18,0.6929866671562195,1.8283990621566772,0.5229007601737976,2.549473285675049
19,0.7068225145339966,1.8051583766937256,0.5133587718009949,2.5311367511749268
20,0.7206584215164185,1.7564057111740112,0.4942747950553894,2.548187255859375
21,0.7242366671562195,1.7547121047973633,0.5076335668563843,2.5412259101867676
22,0.7247137427330017,1.749606728553772,0.5076335668563843,2.540191411972046
23,0.7008587718009949,1.813416838645935,0.45610687136650085,2.6813793182373047
24,0.6951335668563843,1.8496534824371338,0.48473283648490906,2.643791437149048
25,0.6932252049446106,1.8397682905197144,0.4866412281990051,2.591470956802368
26,0.6917939186096191,1.8059492111206055,0.4885496199131012,2.548780918121338
