epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.12135397642850876,9.999999747378752e-06,5.483531951904297,0.4985590875148773,2.1074044704437256
1,0.24054735898971558,9.999999747378752e-06,3.142223596572876,0.469740629196167,2.296884775161743
2,0.2884407639503479,9.999999747378752e-06,2.7276809215545654,0.4639769494533539,2.2703373432159424
3,0.34929779171943665,9.999999747378752e-06,2.46069073677063,0.47262248396873474,2.158756732940674
4,0.39214980602264404,4.999999873689376e-06,2.2962565422058105,0.48414984345436096,2.0764431953430176
5,0.40187251567840576,4.999999873689376e-06,2.258814811706543,0.4812680184841156,2.0208215713500977
6,0.41447606682777405,4.999999873689376e-06,2.183418035507202,0.4985590875148773,1.9655176401138306
