epoch,accuracy,loss,val_accuracy,val_loss
0,0.10803025215864182,4.011233329772949,0.2103746384382248,3.325594186782837
1,0.25279077887535095,3.0891220569610596,0.30547550320625305,2.7605741024017334
2,0.35433921217918396,2.5600361824035645,0.4149855971336365,2.3449668884277344
3,0.44436442852020264,2.169452667236328,0.455331414937973,2.196794033050537
4,0.48865681886672974,1.9108163118362427,0.4495677351951599,2.137880563735962
5,0.5354699492454529,1.7552037239074707,0.5072045922279358,1.9649684429168701
6,0.5761613249778748,1.5974823236465454,0.5331411957740784,1.8158172369003296
7,0.6013683676719666,1.5201343297958374,0.5331411957740784,1.7879301309585571
8,0.6154122948646545,1.4165425300598145,0.5417867302894592,1.7348110675811768
9,0.6377385854721069,1.3543577194213867,0.5475504398345947,1.7152857780456543
10,0.6553835272789001,1.2935640811920166,0.5446686148643494,1.6953243017196655
11,0.6636658310890198,1.2470169067382812,0.5475504398345947,1.689078450202942
12,0.6593446135520935,1.2672661542892456,0.5475504398345947,1.6906776428222656
13,0.6265754699707031,1.3739880323410034,0.5187320113182068,1.8868054151535034
14,0.6132516860961914,1.4214351177215576,0.5331411957740784,1.77647066116333
15,0.6319769620895386,1.3361666202545166,0.5533141493797302,1.7008171081542969
16,0.6553835272789001,1.2519021034240723,0.5648415088653564,1.7327097654342651
17,0.6708678603172302,1.1550434827804565,0.579250693321228,1.6778411865234375
18,0.6971551775932312,1.0948244333267212,0.5821325778961182,1.5983734130859375
19,0.711199164390564,1.0252940654754639,0.6167147159576416,1.5496430397033691
20,0.7277637720108032,0.9912611246109009,0.5994236469268799,1.5272818803787231
21,0.7353258728981018,0.936266303062439,0.5821325778961182,1.5493919849395752
22,0.75477135181427,0.8618221282958984,0.5965417623519897,1.5114306211471558
23,0.7475693225860596,0.8875900506973267,0.6051872968673706,1.4987915754318237
24,0.7734965682029724,0.8383688926696777,0.6023054718971252,1.4859309196472168
25,0.7734965682029724,0.8098371624946594,0.5965417623519897,1.4917632341384888
26,0.7652142643928528,0.8503552675247192,0.6167147159576416,1.5596805810928345
27,0.7292041778564453,0.961139440536499,0.5878962278366089,1.5950231552124023
28,0.7176809310913086,0.9969379901885986,0.5878962278366089,1.6464459896087646
29,0.7306445837020874,0.9186702966690063,0.5994236469268799,1.5921446084976196
30,0.738926887512207,0.8852887153625488,0.5821325778961182,1.5497443675994873
31,0.7583723664283752,0.8341102600097656,0.6224783658981323,1.3904529809951782
32,0.7824990749359131,0.7766690254211426,0.6023054718971252,1.4759060144424438
33,0.7756571769714355,0.7694424390792847,0.6109510064125061,1.4499523639678955
34,0.7918617129325867,0.6894628405570984,0.5994236469268799,1.4908595085144043
35,0.7979834079742432,0.7011719942092896,0.6051872968673706,1.4708274602890015
36,0.8091465830802917,0.6573832035064697,0.6282420754432678,1.4188849925994873
37,0.8095066547393799,0.6510611772537231,0.6138328313827515,1.447933554649353
38,0.8206697702407837,0.6319381594657898,0.619596540927887,1.4362127780914307
39,0.8141879439353943,0.6428093910217285,0.619596540927887,1.4375816583633423
